,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CFTR,23.8918261546678,-2.1794482724955024,0.37293647022203025,-5.844020219309614,5.0955839080886835e-09,4.145845461219539e-06
AOC1,145.12812365702052,-1.9246196131109279,0.4867223901024645,-3.9542450732660117,7.677668263743505e-05,0.008314678896820653
TMEM176A,25.278302933228368,-1.5145822149067159,0.4204561062609614,-3.60223622003166,0.0003154914741069823,0.022295901926255357
PDK4,1131.3564725647118,2.0951339710042918,0.39325435843117557,5.327681502024513,9.947435689990251e-08,4.711075848941503e-05
CRLF1,361.72130344310506,0.8471486638320641,0.21911158463998479,3.8662887917313316,0.00011050407667573775,0.011026430367917719
DNAH9,3.276017697014721,-1.710697940376187,0.45447736736529115,-3.7640993000234375,0.00016715045773759853,0.014491396651562129
SYN1,34.82297584768518,1.679530467457142,0.37543714716002174,4.473533000561821,7.693767764650547e-06,0.0015033178585741385
SLC6A13,15.507322713094274,1.1558433095831813,0.34873619354266094,3.3143772599037296,0.0009184749377332476,0.04611412697660393
TSPAN9,1825.575121894551,0.6026122125041876,0.17660860525928632,3.412133919632444,0.000644564385402588,0.03725441259236707
DCN,39.74926867930233,1.6018820824588724,0.4286103408379648,3.7373855220736742,0.00018594370461178357,0.015650344008054387
NR1H4,4.3595508817875634,1.7254100303846462,0.5136304824276492,3.359243832705529,0.000781560739905939,0.04217636707135264
CLCA1,0.9803790861297832,-2.6452848594710936,0.7012235504471579,-3.772384509596465,0.0001616948168484091,0.014212571283703238
HGF,90.83372882945778,2.260393513244044,0.4683388967594974,4.826405683755981,1.3901918367840136e-06,0.00039731405883132887
RPL26L1,2659.2068304072245,0.3411889764270249,0.10343733986432345,3.298508806148294,0.0009719983123784574,0.04766998214850205
RIPOR3,73.75633831127578,1.2724773520843762,0.3118343818657384,4.080619155819215,4.491589666386759e-05,0.0055533608968243815
MAGEC2,238.82735089643916,1.6534388092957666,0.5038473147081485,3.28162671712067,0.0010321013805512699,0.04962061955495809
PREX2,36.58233165509082,-3.8645993292420138,0.5024689802153853,-7.691219719843079,1.4573890319898636e-14,5.138267930452262e-11
ARHGAP6,11.80756820140058,1.3625424230304528,0.34350197943770266,3.966621750654461,7.289854482608359e-05,0.008011630245566405
RRM2B,2854.5612024329143,0.605553904530865,0.13986658772589242,4.329510817248338,1.4944093021092742e-05,0.002382195888205078
KITLG,5381.224085447546,-1.1337301954373578,0.28665492478248883,-3.9550347732473887,7.652352080241477e-05,0.008314678896820653
ELN,31.99573144308523,-1.7452407164150767,0.3881703307504874,-4.496069323590068,6.922117616239316e-06,0.001381419585414401
METTL24,3.756286336299381,-1.3498000827242462,0.3865051911687523,-3.492320707627725,0.0004788429414493475,0.029635057159163605
PTPRN,751.2887999076053,2.3994143428106267,0.5241427912457988,4.577787547373541,4.699195891343296e-06,0.001037909537270977
CHRDL2,10.980847359361926,2.365794459348036,0.4610922871104891,5.130848043834516,2.884396965869058e-07,0.00010767623543998952
TBXAS1,249.93472532978092,-1.1274738659421732,0.3257459785922293,-3.461205786222618,0.000537761568734207,0.032195683655670035
PSD,200.39548860740018,0.8412856888610968,0.22363587593261974,3.7618547800200517,0.00016865796923784895,0.014542625059473329
SLC12A2,3693.0001616945947,-0.5951082936435522,0.17865469135829212,-3.331053268845104,0.0008651804453650586,0.0443506311985116
CALCRL,84.26035990629535,-1.5250968163587302,0.35952758115811323,-4.241946644110239,2.21589378867421e-05,0.0033010575496911433
GLP2R,246.9723640829104,1.8003798894985636,0.5187534272071436,3.4705889061618738,0.0005193183926680406,0.03156799217959693
TIE1,26.48856839233817,1.5919239725124414,0.3820137756303314,4.167189965560092,3.08377504135624e-05,0.004217726975744606
MPPED2,14.917901601742479,-2.3820371081345972,0.5294017685309754,-4.499488384303015,6.811720155789345e-06,0.0013767050462633866
TRO,306.04114196951724,1.8339560813511617,0.46409269135221,3.951702139517928,7.759728725999552e-05,0.008362045909046245
CAMK2A,30.502390662777334,1.6803200834752108,0.439219230383074,3.8256978912550923,0.00013040213191304082,0.012169970728625584
CYP2W1,19.771100768818453,-1.1097529073793104,0.29088911517295274,-3.815037584749396,0.00013616220776910187,0.012451190244153807
ACTL6B,5.2937346292239775,2.128706442572934,0.5680346727565687,3.74749384970236,0.00017861021483628388,0.015194318302868966
CAPN6,47.3894220535214,-3.0791475058509827,0.5275278613016317,-5.8369381633293065,5.316881716888468e-09,4.2177493439647e-06
APBB1IP,165.69363459350987,1.8343366699293013,0.47785549581060205,3.838684886981692,0.00012369505511373332,0.011751400580281054
ACTN2,20.422533690424093,1.442255351157878,0.3895898845607731,3.701983568654224,0.00021392047516666812,0.017098011580638655
TIGAR,1766.4281058848092,0.9832133961806272,0.17594572685861506,5.5881629735214275,2.2948422975496198e-08,1.4860743049703467e-05
RBFOX1,7.509335209452807,-2.2910831845664834,0.5484982140668426,-4.177011202241182,2.9536448453140006e-05,0.004146995778170732
TP53INP2,1992.3638024596057,0.761937073049204,0.21183954113762324,3.5967651221176196,0.00032219917068215836,0.022618809479901695
CDH17,125.77993078477786,1.6518773658743002,0.4543329555452244,3.6358299474268976,0.00027708708273117003,0.02011956572572713
SCGN,15.303066458378632,2.192751884584933,0.6238019725574983,3.515140991932049,0.00043952057599511856,0.028170578337918712
COL5A3,49.84131191229204,2.437060100833702,0.42719778127052643,5.704758329000811,1.1650827254320536e-08,7.86579573631585e-06
MPP4,56.894324957374295,2.1450175783896346,0.46382606122488834,4.624616332952477,3.7529240950965757e-06,0.000882103958974144
